NAME	Nom	Puit	Run	Milieu	CompoState	Lineage	Lineage.detail	Passage
P3E07LSP32	hiPS LONZA71 C019 P32 TESR	E07	3	mTeSR1	prime	LONZA71	L7	32
R3E08MIP01	J25 MIPS RSeT (J18)	E08	3	RSeT	prime	MIPS	M3	1
A3E09MIP20	MIPS P20 T2iL-Go	E09	3	T2iLGO	naive	MIPS	M3	20
A3E10MIP25	MIPS P25 T2iL-Go	E10	3	T2iLGO	naive	MIPS	M3	25
E3E11LEJ07	Repro S J7 LON80	E11	3	E7	somat	LONZA80	L8	1
R3E12BJP01	Repro S II J25 BJ1 RSeT(J18)	E12	3	RSeT	prime	BJ1	B1	1
R3F01BJP03	Repro S II BJ1 RSeT P3	F01	3	RSeT	prime	BJ1	B1	3
R3F02MIP03	Repro S II MIPS RSeT P3	F02	3	RSeT	prime	MIPS	M3	3
K3F03BJP03	Repro S II J45 BJ1 B4 P3 KSR	F03	3	KSR+FGF2	prime	BJ1	B1	3
K3F04MIP04	Repro S II J46 MIPS B2 P4 KSR	F04	3	KSR+FGF2	prime	MIPS	M3	4
R3F05BJP08	Repro S II BJ1 RSeT P8	F05	3	RSeT	prime	BJ1	B1	8
R3F06LEP08	Repro S II LON80 RSeT P8	F06	3	RSeT	prime	LONZA80	L8	8
R3F07MIP08	Repro S II MIPS RSeT P8	F07	3	RSeT	prime	MIPS	M3	8
F3F08LEP05	Repro S II J0 huFibro LON80 P+5	F08	3	Fibro	somat	LONZA80	L8	1
E3F09LEJ13	Repro S II J13 LON80 E7	F09	3	E7	somat	LONZA80	L8	1
R3F10LEP03	hiPS LON80 RSeT P3	F10	3	RSeT	prime	LONZA80	L8	3
K3F11LEP03	hiPS LON80 B2 P3 KSR	F11	3	KSR+FGF2	prime	LONZA80	L8	3
A3F12LEP07	hiPS LON80.A P7	F12	3	T2iLGO	naive	LONZA80	L8	7
A3G01LEP11	hiPS LON80.A P11	G01	3	T2iLGO	naive	LONZA80	L8	11
E3G02BJJ07	BJ J7 SEV3	G02	3	E7	somat	BJ1	B1	1
E3G03MIJ07	MIPS J7 SEV3	G03	3	E7	somat	MIPS	M3	1
E3G04BJJ13	BJ1 J13 SEV3	G04	3	E7	somat	BJ1	B1	1
E3G05MIJ13	MIPS J13 SEV3	G05	3	E7	somat	MIPS	M3	1
F3G06BJP11	FIBRO BJ1 P11 J0 SEV3	G06	3	Fibro	somat	BJ1	B1	1
F3G07MIP11	FIBRO MIPS P11 J0 SEV3	G07	3	Fibro	somat	MIPS	M3	1
E3G08BJJ20	BJ1 J20 SEV3	G08	3	E7	somat	BJ1	B1	1
E3G09MIJ20	MIPS J20 SEV3	G09	3	E7	somat	MIPS	M3	1
R3G10BJP02	BJ1.R22 J25 P2 SEV3	G10	3	RSeT	naive	BJ1	B1	2
R3G11BJP02	BJ1.R9 J26 P2 SEV3	G11	3	RSeT	naive	BJ1	B1	2
R3G12MIP02	MIPS .R9 J26 P2 SEV3	G12	3	RSeT	naive	MIPS	M3	2
R3H01BJP07	BJ1.R22 P7	H01	3	RSeT	prime	BJ1	B1	7
R3H02BJP08	BJ1.R9 P8	H02	3	RSeT	naive	BJ1	B1	8
R3H03MIP07	MIPS.R9 P7	H03	3	RSeT	naive	MIPS	M3	7
A3H04LEP09	LON80.A P? Repiq P+3 = P9	H04	3	T2iLGO	naive	LONZA80	L8	9
A3H05LEP15	LON80.A P15 T2il-Go	H05	3	T2iLGO	naive	LONZA80	L8	15
A3H06LEP20	LON80.A P20 T2iL-Go	H06	3	T2iLGO	naive	LONZA80	L8	20
